,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Bank deposit(target)
0,95,retired,divorced,primary,no,2282.0,no,no,telephone,21,apr,3,17,-1,0,unknown,yes
1,95,retired,married,secondary,no,0.0,no,no,telephone,1,oct,3,1,-1,0,unknown,no
2,94,retired,divorced,secondary,no,1234.0,no,no,cellular,3,mar,3,1,-1,0,unknown,no
3,93,retired,married,unknown,no,775.0,no,no,cellular,22,jul,14,2,177,7,success,yes
4,93,retired,married,unknown,no,775.0,no,no,cellular,4,aug,7,2,13,9,success,yes
5,92,retired,married,unknown,no,775.0,no,no,cellular,22,oct,5,3,-1,0,unknown,yes
6,92,retired,married,unknown,no,775.0,no,no,cellular,26,jan,2,4,96,3,success,yes
7,90,retired,divorced,secondary,no,1.0,no,no,cellular,13,feb,2,3,-1,0,unknown,yes
8,90,retired,divorced,primary,no,712.0,no,no,telephone,3,mar,9,1,-1,0,unknown,yes
9,89,retired,married,tertiary,no,553.0,no,no,telephone,19,aug,33,5,-1,0,unknown,no
10,89,retired,divorced,primary,no,1323.0,no,no,telephone,29,dec,3,4,189,1,other,no
11,89,retired,married,primary,no,0.0,no,no,telephone,27,sep,2,5,-1,0,unknown,no
12,88,retired,married,primary,no,648.0,no,no,telephone,3,sep,5,1,-1,0,unknown,no
13,88,retired,married,secondary,no,433.0,no,no,telephone,15,sep,2,1,274,1,failure,no
14,87,retired,married,primary,no,230.0,no,no,cellular,30,oct,2,1,-1,0,unknown,yes
15,87,retired,divorced,primary,no,6746.0,no,no,telephone,21,oct,12,1,-1,0,unknown,yes
17,87,retired,married,secondary,no,1000000.0,no,no,telephone,15,dec,2,1,-1,0,unknown,no
18,87,retired,married,primary,no,2190.0,no,no,telephone,12,jan,8,2,-1,0,unknown,yes
19,86,retired,married,secondary,no,1503.0,no,no,telephone,18,mar,2,3,101,1,other,no
20,86,retired,married,primary,no,0.0,no,no,cellular,15,apr,2,12,-1,0,unknown,no
21,86,retired,divorced,unknown,no,0.0,no,no,telephone,26,aug,3,1,-1,0,unknown,yes
22,86,retired,divorced,unknown,no,157.0,no,no,telephone,7,sep,2,1,-1,0,unknown,no
23,86,retired,single,unknown,no,614.0,no,no,telephone,9,dec,9,1,-1,0,unknown,yes
24,86,retired,married,unknown,no,1817.0,no,no,cellular,16,mar,4,3,-1,0,unknown,no
25,86,retired,married,unknown,no,1503.0,no,no,telephone,18,mar,2,3,101,1,other,no
26,86,retired,married,unknown,no,5236.0,no,no,telephone,1,apr,9,2,-1,0,unknown,yes
27,86,retired,married,unknown,no,1255.0,no,no,telephone,14,jul,4,1,180,3,success,yes
28,86,retired,married,unknown,no,1255.0,no,no,cellular,14,oct,3,2,92,4,success,no
29,85,retired,married,unknown,no,12114.0,no,no,telephone,12,feb,2,2,-1,0,unknown,yes
30,85,retired,divorced,unknown,no,7613.0,no,no,cellular,18,feb,5,3,-1,0,unknown,yes
31,85,retired,married,unknown,no,98.0,no,no,telephone,30,apr,6,1,-1,0,unknown,yes
32,85,retired,married,unknown,no,1934.0,no,no,telephone,12,jan,2,1,-1,0,unknown,no
33,85,retired,married,unknown,no,1255.0,no,no,cellular,15,jan,3,3,-1,0,unknown,yes
34,84,retired,divorced,unknown,no,639.0,no,no,telephone,18,may,5,3,-1,0,unknown,yes
35,84,retired,married,unknown,no,1702.0,no,no,telephone,26,aug,3,1,-1,0,unknown,no
36,84,entrepreneur,married,unknown,no,0.0,no,no,telephone,30,sep,16,2,-1,0,unknown,yes
37,84,retired,married,unknown,no,1791.0,no,no,telephone,30,oct,1,3,-1,0,unknown,no
